code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
ABMF00GLP,ABMF,16.262,-61.528,-25.0,2919786.0,-5383745.0,1774604.0,20.312591389677923,-61.528,True
ABPO00MDG,ABPO,-19.018,47.229,1552.992,4097216.6805,4429119.0287,-2065771.3676,-32.45284883633828,47.229,True
AC2300USA,AC23,60.475,-150.878,80.301,-2752834.7418,-1533597.398,5526823.2554,58.990408130698846,-150.878,True
AC2400USA,AC24,58.682,-156.653,36.4,-3051338.7572,-1317097.8223,5425614.2192,55.6233619623716,-156.653,True
ACRG00GHA,ACRG,5.641,-0.207,83.4,6347491.377,-22944.8986,622822.4766,-8.399340693019212,-0.207,True
ACSO00USA,ACSO,40.232,-82.982,249.387,595828.9368,-4839735.3204,4097876.7222,49.57834189113262,-82.982,True
ADE100AUS,ADE1,-34.729,138.647,38.2,-3939182.131,3467075.376,-3613220.824,-49.28607698255147,138.647,True
ADE200AUS,ADE2,-34.729,138.647,38.2,-3939182.131,3467075.376,-3613220.824,-49.28607698255147,138.647,True
ADIS00ETH,ADIS,9.035,38.766,2439.149,4913652.76087,3945922.66962,995383.33311,1.6985430447545402,38.766,True
AGGO00ARG,AGGO,-34.874,-58.14,42.085,2765120.9,-4449250.25,-3626405.6,-23.684194491100534,-58.14,True
AIRA00JPN,AIRA,31.824,130.6,314.64,-3530185.489,4118797.337,3344036.931,27.545914675240372,130.6,True
AJAC00FRA,AJAC,41.927,8.763,98.8,4696990.0,723994.0,4239678.0,38.604554683788834,8.763,True
ALAC00ESP,ALAC,38.339,-0.481,60.3,5009051.41,-42072.468,3935057.475,33.331650319167125,-0.481,True
ALBH00CAN,ALBH,48.39,-123.487,32.0,-2341332.884,-3539049.509,4745791.36,52.845034843100855,-123.487,True
ALGA00CAN,ALGA,45.956,-78.071,198.9,918127.5277,-4346061.9053,4561984.2467,54.78251536021302,-78.071,True
ALGO00CAN,ALGO,45.959,-78.071,202.0,918129.4,-4346071.2,4561977.8,54.785808090865146,-78.071,True
ALIC00AUS,ALIC,-23.67,133.886,603.2,-4052052.7352,4212835.9833,-2545104.5853,-35.862687594244505,133.886,True
