date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year
2023-01-16,147157626.3042316,1.5374756766544102e-11,783823138.414108,5.172705265183691e-16,1598508066.3192887,3.725694872667473e-17,233365864.1960248,1.496521462414254e-17,110850542.29015228,8.707793742624642e-18,5.782004836118111e-16,1.5375334967027713e-11,0.00207927566864057,0.007930144266975171,0.7138702002515896,44528,2023
2023-01-17,147167909.3722549,1.5372608279867966e-11,786022184.7519437,5.143802501615173e-16,1599668717.6930299,3.720290423502656e-17,232849361.99246186,1.503167938964934e-17,112013932.8759345,8.527852616528359e-18,5.751426864027215e-16,1.537318342255437e-11,0.016663603822005314,0.03382361193439124,0.7241148139123069,44828,2023
2023-01-18,147178850.44258294,1.5370322808331793e-11,788207724.2834828,5.11531661522273e-16,1600794465.3060353,3.715059726463533e-17,232327319.06575832,1.509930809814912e-17,113192381.05058406,8.351209651803342e-18,5.721327765368609e-16,1.537089494110833e-11,-0.0024636975361458494,-0.006638202115699502,0.7125825769108549,45427,2023
2023-01-19,147190398.9511084,1.5367911002374445e-11,790379268.4748322,5.087246859641406e-16,1601884992.0483227,3.710003192492345e-17,231799676.26662457,1.516812707976374e-17,114385459.1542465,8.177906447138079e-18,5.691707514159659e-16,1.536848017312586e-11,0.0025344390370709577,0.010064185046586523,0.7184894118213789,45128,2023
2023-01-20,147202507.01928487,1.5365382946770877e-11,792536322.2800996,5.059592526091122e-16,1602939986.6894963,3.705121231240272e-17,231266371.74077094,1.5238163702185424e-17,115592731.43040141,8.007975309031911e-18,5.662566039327322e-16,1.536594920337481e-11,0.0035835266666881917,0.004968976733624228,0.7126915081949956,43637,2023
2023-01-21,147215134.3552315,1.5362747137183812e-11,794678387.1537863,5.032352906502612e-16,1603959149.6143153,3.700414225442579e-17,230727345.27591825,1.5309445829861505e-17,116813750.76066817,7.841440292630233e-18,5.633903190271787e-16,1.5363310527502838e-11,-0.0008201105805938014,0.004868249302703074,0.7230556689398403,43342,2023
2023-01-22,147228253.41905442,1.5360009403413537e-11,796804966.7699989,5.005527224524572e-16,1604942199.941214,3.6958824991982544e-17,230182543.76900163,1.5382001110529423e-17,118048057.60070358,7.678317861582805e-18,5.60571866416552e-16,1.536056997527995e-11,0.0032614025976965286,0.011473027627094023,0.71697075018817,43639,2023
2023-01-23,147241853.3243287,1.5357172098381484e-11,798915574.7223359,4.979114545229838e-16,1605888882.3879719,3.6915262877138634e-17,229631926.50106218,1.5455856256559726e-17,119295182.30536011,7.518617086007164e-18,5.578011907426893e-16,1.5357729899572225e-11,0.0077727281683071,0.021253721224022352,0.7182730621896011,43049,2023
2023-01-24,147255941.03275475,1.535423385341189e-11,801009742.3568325,4.953113687507219e-16,1606798971.8271782,3.68734571789109e-17,229075468.57781762,1.5531036542838626e-17,120554650.8941725,7.362339465774713e-18,5.550782019382462e-16,1.5354788931613828e-11,-0.0043184151208286795,-0.015096808506630088,0.7153538086827752,44232,2023
2023-01-25,147270539.35712734,1.5351189999862878e-11,803087024.5679845,4.927523165572308e-16,1607672274.1485476,3.6833408059266127e-17,228513161.45497814,1.5607565679426417e-17,121825992.85530066,7.209478628115196e-18,5.5240276892403855e-16,1.5351742402631803e-11,0.005406704572112623,0.012177080489816168,0.7128901585547501,44829,2023
2023-01-26,147285682.57272315,1.5348033488989392e-11,805147002.2262133,4.902341174191454e-16,1608508623.514219,3.6795114713144573e-17,227945010.66023776,1.5685466062838352e-17,123108748.80303298,7.06002018605928e-18,5.497747183811876e-16,1.5348583263707774e-11,0.006841279111064636,0.0057187675173853685,0.7113058126201991,44521,2023
2023-01-27,147301411.19093534,1.53447559851452e-11,807189281.3272177,4.87756561415256e-16,1609307877.3740237,3.6758575608289377e-17,227371031.84308505,1.5764759269152886e-17,124402476.1912081,6.913941933586061e-18,5.471938382262843e-16,1.5345303178983428e-11,0.0082814064784651,0.016283892716266013,0.7172766971807321,43636,2023
2023-01-28,147317767.31198138,1.5341348836663558e-11,809213490.005059,4.853194142140286e-16,1610069910.9685814,3.672378874524376e-17,226791246.54499352,1.5845466607638804e-17,125706752.40314011,6.771214385641828e-18,5.44659883952553e-16,1.534189349654751e-11,0.00274098721920814,0.009406990371923529,0.7181268916449318,43935,2023
