[23:31:53] [INFO] 
[23:31:53] [INFO] ================================================================================
[23:31:53] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 1.1: Data Acquisition
[23:31:53] [INFO] ================================================================================
[23:31:53] [INFO] 
[23:31:53] [PROCESS] Building comprehensive station catalogue from authoritative sources
[23:31:53] [PROCESS] Fetching coordinates from authoritative sources...
[23:31:53] [PROCESS] Building comprehensive coordinate catalogue...
[23:31:53] [PROCESS] Fetching IGS network coordinates...
[23:31:54] [SUCCESS] Retrieved 767 stations from IGS network
[23:31:54] [PROCESS] Calculating geomagnetic coordinates for all stations...
[23:31:54] [SUCCESS] Geomagnetic coordinate calculation complete: 767 successful, 0 failed
[23:31:54] [SUCCESS] Built coordinate catalogue: 767 unique stations
[23:31:54] [SUCCESS] Stations with valid coordinates: 767/767 (100.0%)
[23:31:54] [SUCCESS] Geomagnetic coordinates: 767/767 stations (100.0%)
[23:31:54] [SUCCESS] Station catalogue built: 767 stations saved to step_1_1_station_coords_global.csv
[23:31:54] [INFO] Coordinate verification summary:
[23:31:54] [INFO]   Total stations in catalogue: 767
[23:31:54] [SUCCESS]   Stations with valid coordinates: 767
[23:31:54] [SUCCESS]   Verified stations for analysis: 767
[23:31:54] [SUCCESS] Final station catalogue: 767 stations (767 with valid coordinates)
[23:31:54] [INFO] Existing clock files: IGS:0 CODE:0 ESA:0
[23:31:54] [PROCESS] Generating download tasks...
[23:31:54] [INFO] Using date filter 2023-01-01 → 2025-06-30 (912 days)
[23:31:54] [SUCCESS] Tasks generated: IGS:912 CODE:912 ESA:912
[23:31:54] [INFO] 
[23:31:54] [INFO] ================================================================================
[23:31:54] [INFO] PARALLEL CLOCK FILE ACQUISITION
[23:31:54] [INFO] ================================================================================
[23:31:54] [INFO] 
[23:31:54] [PROCESS] Processing IGS: 912 files with 96 workers
[23:31:54] [PROCESS] IGS: Downloading 912 missing files...
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230250000_01D_30S_CLK.CLK.gz (2.3MB) | Progress: 0.1% | ETA: 119min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230690000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.2% | ETA: 60min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230830000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.3% | ETA: 40min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230400000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.4% | ETA: 30min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230190000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.5% | ETA: 24min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230220000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.7% | ETA: 20min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230200000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.8% | ETA: 17min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230030000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 0.9% | ETA: 15min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230390000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 1.0% | ETA: 14min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230460000_01D_30S_CLK.CLK.gz (2.5MB) | Progress: 1.1% | ETA: 12min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230930000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 1.2% | ETA: 11min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230180000_01D_30S_CLK.CLK.gz (2.1MB) | Progress: 1.3% | ETA: 10min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230530000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 1.4% | ETA: 9min
[23:32:02] [SUCCESS] IGS: IGS0OPSFIN_20230910000_01D_30S_CLK.CLK.gz (2.4MB) | Progress: 1.5% | ETA: 9min
