local_hour_bin,coherence_mean,coherence_std,sample_count
0,-0.01688528407419483,0.7305613449243202,350
1,-0.026090306313574507,0.7236733369679246,406
2,-0.028391656369430196,0.7062136588809949,378
3,0.007959063263301286,0.7303805137705079,406
4,-0.018404734392613597,0.7213581880693676,392
5,-0.041920616334438006,0.7265450726217144,420
6,0.013694750314039064,0.7226849408155928,420
7,0.045353699696425824,0.7130959015674011,406
8,0.04934367599396413,0.7300757134240022,378
9,0.04395098277791468,0.7179401590155234,420
10,0.00840792241096476,0.7188754290554069,392
11,-0.0005691294422652476,0.7250198015848105,406
12,0.009389207691285208,0.741275376183788,420
13,0.05081203013356539,0.7168598730264195,420
14,0.006632363522895438,0.7202354731053576,420
15,-0.058626323793604655,0.7299720878223815,406
16,0.0036949912946974165,0.7235946320701109,364
17,0.08977884132631055,0.7133667458990693,420
18,0.06265785045647304,0.7029995902275904,406
19,-0.038061257399391764,0.7481064046642409,378
20,-0.010041814340371226,0.7284847385060006,406
21,0.04591328582860703,0.6934053612878543,420
22,-0.0568026704679361,0.7192123483502969,406
23,-0.006764242955539093,0.7024488288786026,420
